Year,Date,Stage,Course,Distance,Type,Winner
1925,11/07/1925,14,Briançon to Evian,303 km (188 mi),Stage with mountain(s),Hector Martin (BEL)
1925,13/07/1925,15,Evian to Mulhouse,373 km (232 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1925,15/07/1925,16,Mulhouse to Metz,334 km (208 mi),Plain stage,Hector Martin (BEL)
1925,17/07/1925,17,Metz to Dunkerque,433 km (269 mi),Plain stage,Hector Martin (BEL)
1925,19/07/1925,18,Dunkerque to Paris,343 km (213 mi),Plain stage,Ottavio Bottecchia (ITA)
1926,20/06/1926,1,Evian to Mülhausen,373 km (232 mi),Plain stage,Jules Buysse (BEL)
1926,22/06/1926,2,Mülhausen to Metz,334 km (208 mi),Plain stage,Aimé Dossche (BEL)
1926,24/06/1926,3,Metz to Dunkerque,433 km (269 mi),Plain stage,Gustaaf van Slembrouck (BEL)
1926,26/06/1926,4,Dunkerque to Le Havre,361 km (224 mi),Plain stage,Félix Sellier (BEL)
1926,28/06/1926,5,Le Havre to Cherbourg-en-Cotentin,357 km (222 mi),Plain stage,Adelin Benoit (BEL)
1926,30/06/1926,6,Cherbourg to Brest,405 km (252 mi),Plain stage,Joseph van Dam (BEL)
1926,02/07/1926,7,Brest to Les Sables d'Olonne,412 km (256 mi),Plain stage,Nicolas Frantz (LUX)
1926,03/07/1926,8,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Plain stage,Joseph van Dam (BEL)
1926,04/07/1926,9,Bordeaux to Bayonne,189 km (117 mi),Plain stage,Nicolas Frantz (LUX)
1926,06/07/1926,10,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Lucien Buysse (BEL)
1926,08/07/1926,11,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Lucien Buysse (BEL)
1926,10/07/1926,12,Perpignan to Toulon,427 km (265 mi),Plain stage,Nicolas Frantz (LUX)
1926,12/07/1926,13,Toulon to Nice,280 km (170 mi),Plain stage,Nicolas Frantz (LUX)
1926,14/07/1926,14,Nice to Briançon,275 km (171 mi),Stage with mountain(s),Bartolomeo Aimo (ITA)
1926,16/07/1926,15,Briançon to Evian,303 km (188 mi),Stage with mountain(s),Joseph van Dam (BEL)
1926,17/07/1926,16,Evian to Dijon,321 km (199 mi),Plain stage,Camille van de Casteele (BEL)
1926,18/07/1926,17,Dijon to Paris,341 km (212 mi),Plain stage,Aimé Dossche (BEL)
1927,19/06/1927,1,Paris to Dieppe,180 km (110 mi),Team time trial,Francis Pélissier (FRA)
1927,20/06/1927,2,Dieppe to Le Havre,103 km (64 mi),Team time trial,Maurice Dewaele (BEL)
1927,21/06/1927,3,Le Havre to Caen,225 km (140 mi),Team time trial,Hector Martin (BEL)
1927,22/06/1927,4,Caen to Cherbourg-en-Cotentin,140 km (87 mi),Team time trial,Camille van de Casteele (BEL)
1927,23/06/1927,5,Cherbourg to Dinan,199 km (124 mi),Team time trial,Ferdinand Le Drogo (FRA)
1927,24/06/1927,6,Dinan to Brest,206 km (128 mi),Team time trial,André Leducq (FRA)
1927,25/06/1927,7,Brest to Vannes,207 km (129 mi),Team time trial,Gustaaf van Slembrouck (BEL)
1927,26/06/1927,8,Vannes to Les Sables d'Olonne,204 km (127 mi),Team time trial,Raymond Decorte (BEL)
1927,27/06/1927,9,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Team time trial,Adelin Benoit (BEL)
1927,28/06/1927,10,Bordeaux to Bayonne,189 km (117 mi),Plain stage,Pé Verhaegen (BEL)
1927,30/06/1927,11,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1927,02/07/1927,12,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Gustaaf van Slembrouck (BEL)
1927,04/07/1927,13,Perpignan to Marseille,360 km (220 mi),Plain stage,Maurice Dewaele (BEL)
1927,05/07/1927,14,Marseille to Toulon,120 km (75 mi),Team time trial,Antonin Magne (FRA)
1927,06/07/1927,15,Toulon to Nice,220 km (140 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1927,08/07/1927,16,Nice to Briançon,275 km (171 mi),Stage with mountain(s),Julien Vervaecke (BEL)
1927,09/07/1927,17,Briançon to Evian,283 km (176 mi),Stage with mountain(s),Pé Verhaegen (BEL)
1927,11/07/1927,18,Evian to Pontarlier,213 km (132 mi),Team time trial,Adelin Benoit (BEL)
1927,12/07/1927,19,Pontarlier to Belfort,119 km (74 mi),Team time trial,Maurice Geldhof (BEL)
1927,13/07/1927,20,Belfort to Strasbourg,145 km (90 mi),Team time trial,Raymond Decorte (BEL)
1927,14/07/1927,21,Strasbourg to Metz,165 km (103 mi),Team time trial,Nicolas Frantz (LUX)
1927,15/07/1927,22,Metz to Charleville,159 km (99 mi),Team time trial,Hector Martin (BEL)
1927,16/07/1927,23,Charleville to Dunkerque,270 km (170 mi),Team time trial,André Leducq (FRA)
1927,17/07/1927,24,Dunkerque to Paris,344 km (214 mi),Plain stage,André Leducq (FRA)
1928,17/06/1928,1,Paris to Caen,207 km (129 mi),Team time trial,Nicolas Frantz (LUX)
1928,18/06/1928,2,Caen to Cherbourg-en-Cotentin,140 km (87 mi),Team time trial,André Leducq (FRA)
1928,19/06/1928,3,Cherbourg to Dinan,199 km (124 mi),Team time trial,Gaston Rebry (BEL)
1928,20/06/1928,4,Dinan to Brest,206 km (128 mi),Team time trial,Pé Verhaegen (BEL)
1928,21/06/1928,5,Brest to Vannes,208 km (129 mi),Team time trial,Marcel Bidot (FRA)
1928,22/06/1928,6,Vannes to Les Sables d'Olonne,204 km (127 mi),Team time trial,Nicolas Frantz (LUX)
1928,23/06/1928,7,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Team time trial,Victor Fontan (FRA)
1928,24/06/1928,8,Bordeaux to Hendaye,225 km (140 mi),Team time trial,Maurice Dewaele (BEL)
1928,26/06/1928,9,Hendaye to Luchon,387 km (240 mi),Stage with mountain(s),Victor Fontan (FRA)
1928,28/06/1928,10,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),André Leducq (FRA)
1928,30/06/1928,11,Perpignan to Marseille,363 km (226 mi),Plain stage,André Leducq (FRA)
1928,02/07/1928,12,Marseille to Nice,330 km (210 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1928,04/07/1928,13,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Antonin Magne (FRA)
1928,06/07/1928,14,Grenoble to Evian,329 km (204 mi),Stage with mountain(s),Julien Moineau (FRA)
1928,08/07/1928,15,Evian to Pontarlier,213 km (132 mi),Team time trial,Pierre Magne (FRA)
1928,09/07/1928,16,Pontarlier to Belfort,119 km (74 mi),Team time trial,André Leducq (FRA)
1928,10/07/1928,17,Belfort to Strasbourg,145 km (90 mi),Team time trial,Joseph Mauclair (FRA)
1928,11/07/1928,18,Strasbourg to Metz,165 km (103 mi),Team time trial,Nicolas Frantz (LUX)
1928,12/07/1928,19,Metz to Charleville,159 km (99 mi),Team time trial,Marcel Huot (FRA)
1928,13/07/1928,20,Charleville to Malo-les-Bains,271 km (168 mi),Team time trial,Maurice Dewaele (BEL)
1928,14/07/1928,21,Malo-les-Bains to Dieppe,234 km (145 mi),Team time trial,Antonin Magne (FRA)
1928,15/07/1928,22,Dieppe to Paris,331 km (206 mi),Plain stage,Nicolas Frantz (LUX)
1929,30/06/1929,1,Paris to Caen,206 km (128 mi),Plain stage,Aimé Dossche (BEL)
1929,01/07/1929,2,Caen to Cherbourg-en-Cotentin,140 km (87 mi),Plain stage,André Leducq (FRA)
1929,02/07/1929,3,Cherbourg to Dinan,199 km (124 mi),Plain stage,Omer Taverne (BEL)
1929,03/07/1929,4,Dinan to Brest,206 km (128 mi),Plain stage,Louis Delannoy (BEL)
1929,04/07/1929,5,Brest to Vannes,208 km (129 mi),Plain stage,Gustaaf van Slembrouck (BEL)
1929,05/07/1929,6,Vannes to Les Sables d'Olonne,206 km (128 mi),Plain stage,Paul Le Drogo (FRA)
1929,06/07/1929,7,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Plain stage,Nicolas Frantz (LUX)
1929,07/07/1929,8,Bordeaux to Bayonne,182 km (113 mi),Plain stage,Julien Moineau (FRA)
1929,09/07/1929,9,Bayonne to Luchon,363 km (226 mi),Stage with mountain(s),Salvador Cardona (ESP)
1929,11/07/1929,10,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Jef Demuysere (BEL)
1929,13/07/1929,11,Perpignan to Marseille,366 km (227 mi),Plain stage,André Leducq (FRA)
1929,15/07/1929,12,Marseille to Cannes,191 km (119 mi),Team time trial,Marcel Bidot (FRA)
1929,16/07/1929,13,Cannes to Nice,133 km (83 mi),Stage with mountain(s),Benoît Fauré (FRA)
1929,18/07/1929,14,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Gaston Rebry (BEL)
1929,20/07/1929,15,Grenoble to Evian,329 km (204 mi),Stage with mountain(s),Julien Vervaecke (BEL)
1929,22/07/1929,16,Evian to Belfort,283 km (176 mi),Stage with mountain(s),Charles Pélissier (FRA)
1929,23/07/1929,17,Belfort to Strasbourg,145 km (90 mi),Plain stage,André Leducq (FRA)
1929,24/07/1929,18,Strasbourg to Metz,165 km (103 mi),Plain stage,André Leducq (FRA)
1929,25/07/1929,19,Metz to Charleville,159 km (99 mi),Team time trial,Bernard van Rysselberghe (BEL)
1929,26/07/1929,20,Charleville to Malo-les-Bains,270 km (170 mi),Team time trial,Maurice Dewaele (BEL)
1929,27/07/1929,21,Malo-les-Bains to Dieppe,234 km (145 mi),Plain stage,André Leducq (FRA)
1929,28/07/1929,22,Dieppe to Paris,332 km (206 mi),Plain stage,Nicolas Frantz (LUX)
1930,02/07/1930,1,Paris to Caen,206 km (128 mi),Plain stage,Charles Pélissier (FRA)
1930,03/07/1930,2,Caen to Dinan,203 km (126 mi),Plain stage,Learco Guerra (ITA)
1930,04/07/1930,3,Dinan to Brest,206 km (128 mi),Plain stage,Charles Pélissier (FRA)
1930,05/07/1930,4,Brest to Vannes,210 km (130 mi),Plain stage,Omer Taverne (BEL)
1930,06/07/1930,5,Vannes to Les Sables d'Olonne,202 km (126 mi),Plain stage,André Leducq (FRA)
1930,07/07/1930,6,Les Sables d'Olonne to Bordeaux,285 km (177 mi),Plain stage,Jean Aerts (BEL)
1930,08/07/1930,7,Bordeaux to Hendaye,222 km (138 mi),Plain stage,Jules Merviel (FRA)
1930,09/07/1930,8,Hendaye to Pau,146 km (91 mi),Plain stage,Alfredo Binda (ITA)
1930,10/07/1930,9,Pau to Luchon,231 km (144 mi),Stage with mountain(s),Alfredo Binda (ITA)
1930,12/07/1930,10,Luchon to Perpignan,322 km (200 mi),Stage with mountain(s),Charles Pélissier (FRA)
1930,14/07/1930,11,Perpignan to Montpellier,164 km (102 mi),Plain stage,Charles Pélissier (FRA)
1930,15/07/1930,12,Montpellier to Marseille,209 km (130 mi),Plain stage,Antonin Magne (FRA)
1930,16/07/1930,13,Marseille to Cannes,181 km (112 mi),Plain stage,Learco Guerra (ITA)
1930,17/07/1930,14,Cannes to Nice,132 km (82 mi),Stage with mountain(s),Louis Peglion (FRA)
1930,19/07/1930,15,Nice to Grenoble,333 km (207 mi),Stage with mountain(s),Learco Guerra (ITA)
1930,21/07/1930,16,Grenoble to Evian,331 km (206 mi),Stage with mountain(s),André Leducq (FRA)
1930,23/07/1930,17,Evian to Belfort,282 km (175 mi),Stage with mountain(s),Frans Bonduel (BEL)
1930,24/07/1930,18,Belfort to Metz,223 km (139 mi),Plain stage,Charles Pélissier (FRA)
1930,25/07/1930,19,Metz to Charleville,159 km (99 mi),Plain stage,Charles Pélissier (FRA)
1930,26/07/1930,20,Charleville to Malo-les-Bains,271 km (168 mi),Plain stage,Charles Pélissier (FRA)
1930,27/07/1930,21,Malo-les-Bains to Paris,300 km (190 mi),Plain stage,Charles Pélissier (FRA)
1931,30/06/1931,1,Paris to Caen,208 km (129 mi),Plain stage,Alfred Haemerlinck (BEL)
1931,01/07/1931,2,Caen to Dinan,212 km (132 mi),Plain stage,Max Bulla (AUT)
1931,02/07/1931,3,Dinan to Brest,206 km (128 mi),Plain stage,Fabio Battesini (ITA)
1931,03/07/1931,4,Brest to Vannes,211 km (131 mi),Plain stage,André Godinat (FRA)
1931,04/07/1931,5,Vannes to Les Sables d'Olonne,202 km (126 mi),Plain stage,Charles Pélissier (FRA)
1931,05/07/1931,6,Les Sables d'Olonne to Bordeaux,338 km (210 mi),Plain stage,Alfred Haemerlinck (BEL)
1931,06/07/1931,7,Bordeaux to Bayonne,180 km (110 mi),Plain stage,Gérard Loncke (BEL)
1931,07/07/1931,8,Bayonne to Pau,106 km (66 mi),Plain stage,Charles Pélissier (FRA)
1931,08/07/1931,9,Pau to Luchon,231 km (144 mi),Stage with mountain(s),Antonin Magne (FRA)
1931,10/07/1931,10,Luchon to Perpignan,322 km (200 mi),Stage with mountain(s),Rafaele di Paco (ITA)
1931,12/07/1931,11,Perpignan to Montpellier,164 km (102 mi),Plain stage,Rafaele di Paco (ITA)
1931,13/07/1931,12,Montpellier to Marseille,207 km (129 mi),Plain stage,Max Bulla (AUT)
1931,14/07/1931,13,Marseille to Cannes,181 km (112 mi),Plain stage,Charles Pélissier (FRA)
1931,15/07/1931,14,Cannes to Nice,132 km (82 mi),Stage with mountain(s),Eugenio Gestri (ITA)
1931,17/07/1931,15,Nice to Gap,233 km (145 mi),Stage with mountain(s),Jef Demuysere (BEL)
1931,18/07/1931,16,Gap to Grenoble,102 km (63 mi),Stage with mountain(s),Charles Pélissier (FRA)
1931,19/07/1931,17,Grenoble to Aix-les-Bains,230 km (140 mi),Stage with mountain(s),Max Bulla (AUT)
1931,20/07/1931,18,Aix-les-Bains to Evian,204 km (127 mi),Stage with mountain(s),Jef Demuysere (BEL)
1931,21/07/1931,19,Evian to Belfort,282 km (175 mi),Stage with mountain(s),Rafaele di Paco (ITA)
1931,22/07/1931,20,Belfort to Colmar,209 km (130 mi),Stage with mountain(s),André Leducq (FRA)
1931,23/07/1931,21,Colmar to Metz,192 km (119 mi),Plain stage,Rafaele di Paco (ITA)
1931,24/07/1931,22,Metz to Charleville,159 km (99 mi),Plain stage,Raffaele di Paco (ITA)
1931,25/07/1931,23,Charleville to Malo-les-Bains,271 km (168 mi),Plain stage,Gaston Rebry (BEL)
1931,26/07/1931,24,Malo-les-Bains to Paris,313 km (194 mi),Plain stage,Charles Pélissier (FRA)
1932,06/07/1932,1,Paris to Caen,208 km (129 mi),Plain stage,Jean Aerts (BEL)
1932,07/07/1932,2,Caen to Nantes,300 km (190 mi),Plain stage,Kurt Stöpel (GER)
1932,09/07/1932,3,Nantes to Bordeaux,387 km (240 mi),Plain stage,André Leducq (FRA)
1932,11/07/1932,4,Bordeaux to Pau,206 km (128 mi),Plain stage,Georges Ronsse (BEL)
1932,12/07/1932,5,Pau to Luchon,229 km (142 mi),Stage with mountain(s),Antonio Pesenti (ITA)
1932,14/07/1932,6,Luchon to Perpignan,322 km (200 mi),Stage with mountain(s),Frans Bonduel (BEL)
1932,16/07/1932,7,Perpignan to Montpellier,168 km (104 mi),Plain stage,Frans Bonduel (BEL)
1932,17/07/1932,8,Montpellier to Marseille,206 km (128 mi),Plain stage,Michele Orecchia (ITA)
1932,18/07/1932,9,Marseille to Cannes,191 km (119 mi),Plain stage,Rafaele di Paco (ITA)
1932,19/07/1932,10,Cannes to Nice,132 km (82 mi),Stage with mountain(s),Francesco Camusso (ITA)
1932,21/07/1932,11,Nice to Gap,233 km (145 mi),Stage with mountain(s),André Leducq (FRA)
1932,22/07/1932,12,Gap to Grenoble,102 km (63 mi),Stage with mountain(s),Roger Lapébie (FRA)
1932,23/07/1932,13,Grenoble to Aix-les-Bains,230 km (140 mi),Stage with mountain(s),André Leducq (FRA)
1932,24/07/1932,14,Aix-les-Bains to Evian,204 km (127 mi),Stage with mountain(s),Rafaele di Paco (ITA)
1932,25/07/1932,15,Evian to Belfort,291 km (181 mi),Stage with mountain(s),André Leducq (FRA)
1932,26/07/1932,16,Belfort to Strasbourg,145 km (90 mi),Plain stage,Gérard Loncke (BEL)
1932,27/07/1932,17,Strasbourg to Metz,165 km (103 mi),Plain stage,Rafaele di Paco (ITA)
1932,28/07/1932,18,Metz to Charleville,159 km (99 mi),Plain stage,Rafaele di Paco (ITA)
1932,29/07/1932,19,Charleville to Malo-les-Bains,271 km (168 mi),Plain stage,Gaston Rebry (BEL)
1932,30/07/1932,20,Malo-les-Bains to Amiens,212 km (132 mi),Plain stage,André Leducq (FRA)
1932,31/07/1932,21,Amiens to Paris,159 km (99 mi),Plain stage,André Leducq (FRA)
1933,27/06/1933,1,Paris to Lille,262 km (163 mi),Plain stage,Maurice Archambaud (FRA)
1933,28/06/1933,2,Lille to Charleville,192 km (119 mi),Plain stage,Learco Guerra (ITA)
1933,29/06/1933,3,Charleville to Metz,166 km (103 mi),Plain stage,Alfons Schepers (BEL)
1933,30/06/1933,4,Metz to Belfort,220 km (140 mi),Stage with mountain(s),Jean Aerts (BEL)
1933,01/07/1933,5,Belfort to Evian,293 km (182 mi),Stage with mountain(s),Léon Louyet (BEL)
1933,03/07/1933,6,Evian to Aix-les-Bains,207 km (129 mi),Stage with mountain(s),Learco Guerra (ITA)
1933,04/07/1933,7,Aix-les-Bains to Grenoble,229 km (142 mi),Stage with mountain(s),Learco Guerra (ITA)
1933,05/07/1933,8,Grenoble to Gap,102 km (63 mi),Stage with mountain(s),Georges Speicher (FRA)
1933,06/07/1933,9,Gap to Digne,227 km (141 mi),Stage with mountain(s),Georges Speicher (FRA)
1933,07/07/1933,10,Digne to Nice,156 km (97 mi),Plain stage,Fernand Cornez (FRA)
1933,09/07/1933,11,Nice to Cannes,128 km (80 mi),Stage with mountain(s),Maurice Archambaud (FRA)
1933,10/07/1933,12,Cannes to Marseille,208 km (129 mi),Plain stage,Georges Speicher (FRA)
1933,11/07/1933,13,Marseille to Montpellier,168 km (104 mi),Plain stage,André Leducq (FRA)
1933,12/07/1933,14,Montpellier to Perpignan,166 km (103 mi),Plain stage,André Leducq (FRA)
1933,14/07/1933,15,Perpignan to Ax-les-Thermes,158 km (98 mi),Stage with mountain(s),Jean Aerts (BEL)
1933,15/07/1933,16,Ax-les-Thermes to Luchon,165 km (103 mi),Stage with mountain(s),Léon Louyet (BEL)
1933,16/07/1933,17,Luchon to Tarbes,91 km (57 mi),Stage with mountain(s),Jean Aerts (BEL)
1933,17/07/1933,18,Tarbes to Pau,185 km (115 mi),Stage with mountain(s),Learco Guerra (ITA)
1933,19/07/1933,19,Pau to Bordeaux,233 km (145 mi),Plain stage,Jean Aerts (BEL)
1933,20/07/1933,20,Bordeaux to La Rochelle,183 km (114 mi),Plain stage,Jean Aerts (BEL)
1933,21/07/1933,21,La Rochelle to Rennes,266 km (165 mi),Plain stage,Jean Aerts (BEL)
1933,22/07/1933,22,Rennes to Caen,169 km (105 mi),Plain stage,René Le Grevès (FRA)
1933,23/07/1933,23,Caen to Paris,222 km (138 mi),Plain stage,Learco Guerra (ITA)
1934,03/07/1934,1,Paris to Lille,262 km (163 mi),Plain stage,Georges Speicher (FRA)
1934,04/07/1934,2,Lille to Charleville,192 km (119 mi),Plain stage,René Le Grevès (FRA)
1934,05/07/1934,3,Charleville to Metz,161 km (100 mi),Plain stage,Roger Lapébie (FRA)
1934,06/07/1934,4,Metz to Belfort,220 km (140 mi),Stage with mountain(s),Roger Lapébie (FRA)
1934,07/07/1934,5,Belfort to Evian,293 km (182 mi),Plain stage,René Le Grevès (FRA) Georges Speicher (FRA)[b]
1934,09/07/1934,6,Evian to Aix-les-Bains,207 km (129 mi),Stage with mountain(s),Georges Speicher (FRA)
1934,10/07/1934,7,Aix-les-Bains to Grenoble,229 km (142 mi),Stage with mountain(s),René Vietto (FRA)
1934,11/07/1934,8,Grenoble to Gap,102 km (63 mi),Stage with mountain(s),Giuseppe Martano (ITA)
1934,12/07/1934,9,Gap to Digne,227 km (141 mi),Stage with mountain(s),René Vietto (FRA)
1934,13/07/1934,10,Digne to Nice,156 km (97 mi),Plain stage,René Le Grevès (FRA)
1934,15/07/1934,11,Nice to Cannes,126 km (78 mi),Stage with mountain(s),René Vietto (FRA)
1934,16/07/1934,12,Cannes to Marseille,195 km (121 mi),Plain stage,Roger Lapébie (FRA)
1934,17/07/1934,13,Marseille to Montpellier,172 km (107 mi),Plain stage,Georges Speicher (FRA)
1934,18/07/1934,14,Montpellier to Perpignan,177 km (110 mi),Plain stage,Roger Lapébie (FRA)
1934,20/07/1934,15,Perpignan to Ax-les-Thermes,158 km (98 mi),Plain stage,Roger Lapébie (FRA)
1934,21/07/1934,16,Ax-les-Thermes to Luchon,165 km (103 mi),Stage with mountain(s),Adriano Vignoli (ITA)
1934,22/07/1934,17,Luchon to Tarbes,91 km (57 mi),Stage with mountain(s),Antonin Magne (FRA)
1934,23/07/1934,18,Tarbes to Pau,172 km (107 mi),Stage with mountain(s),René Vietto (FRA)
1934,25/07/1934,19,Pau to Bordeaux,215 km (134 mi),Plain stage,Ettore Meini (ITA)
1934,26/07/1934,20,Bordeaux to La Rochelle,183 km (114 mi),Plain stage,Georges Speicher (FRA)
1934,27/07/1934,21a,La Rochelle to La Roche sur Yon,81 km (50 mi),Plain stage,René Le Grevès (FRA)
1934,27/07/1934,21b,La Roche sur Yon to Nantes,90 km (56 mi),Individual time trial,Antonin Magne (FRA)
1934,28/07/1934,22,Nantes to Caen,275 km (171 mi),Plain stage,Raymond Louviot (FRA)
1934,29/07/1934,23,Caen to Paris,221 km (137 mi),Plain stage,Sylvère Maes (BEL)
1935,04/07/1935,1,Paris to Lille,262 km (163 mi),Plain stage,Romain Maes (BEL)
1935,05/07/1935,2,Lille to Charleville,192 km (119 mi),Plain stage,Charles Pélissier (FRA)
1935,06/07/1935,3,Charleville to Metz,161 km (100 mi),Plain stage,Rafaele di Paco (ITA)
1935,07/07/1935,4,Metz to Belfort,220 km (140 mi),Stage with mountain(s),Jean Aerts (BEL)
1935,08/07/1935,5a,"Belfort to Geneva, Switzerland",262 km (163 mi),Plain stage,Maurice Archambaud (FRA)
1935,08/07/1935,5b,Geneva to Evian,58 km (36 mi),Individual time trial,Rafaele di Paco (ITA)
1935,10/07/1935,6,Evian to Aix-les-Bains,207 km (129 mi),Stage with mountain(s),René Vietto (FRA)
1935,11/07/1935,7,Aix-les-Bains to Grenoble,229 km (142 mi),Stage with mountain(s),Francesco Camusso (ITA)
1935,12/07/1935,8,Grenoble to Gap,102 km (63 mi),Stage with mountain(s),Jean Aerts (BEL)
