Year,Date,Stage,Course,Distance,Type,Winner
1924,28/06/1924,4,Brest to Les Sables-d'Olonne,412 km (256 mi),Plain stage,Félix Goethals (FRA)
1924,30/06/1924,5,Les Sables-d'Olonne to Bayonne,482 km (300 mi),Plain stage,Omer Huyse (BEL)
1924,02/07/1924,6,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Ottavio Bottecchia (ITA)
1924,04/07/1924,7,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Ottavio Bottecchia (ITA)
1924,06/07/1924,8,Perpignan to Toulon,427 km (265 mi),Plain stage,Louis Mottiat (BEL)
1924,08/07/1924,9,Toulon to Nice,280 km (170 mi),Stage with mountain(s),Philippe Thys (BEL)
1924,10/07/1924,10,Nice to Briançon,275 km (171 mi),Stage with mountain(s),Giovanni Brunero (ITA)
1924,12/07/1924,11,Briançon to Gex,307 km (191 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1924,14/07/1924,12,Gex to Strasbourg,360 km (220 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1924,16/07/1924,13,Strasbourg to Metz,300 km (190 mi),Plain stage,Arsène Alancourt (FRA)
1924,18/07/1924,14,Metz to Dunkerque,433 km (269 mi),Plain stage,Romain Bellenger (FRA)
1924,20/07/1924,15,Dunkerque to Paris,343 km (213 mi),Plain stage,Ottavio Bottecchia (ITA)
1925,21/06/1925,1,Paris to Le Havre,340 km (210 mi),Plain stage,Ottavio Bottecchia (ITA)
1925,23/06/1925,2,Le Havre to Cherbourg,371 km (231 mi),Plain stage,Romain Bellenger (FRA)
1925,25/06/1925,3,Cherbourg to Brest,405 km (252 mi),Plain stage,Louis Mottiat (BEL)
1925,26/06/1925,4,Brest to Vannes,208 km (129 mi),Plain stage,Nicolas Frantz (LUX)
1925,27/06/1925,5,Vannes to Les Sables-d'Olonne,204 km (127 mi),Plain stage,Nicolas Frantz (LUX)
1925,28/06/1925,6,Les Sables-d'Olonne to Bordeaux,293 km (182 mi),Plain stage,Ottavio Bottecchia (ITA)
1925,29/06/1925,7,Bordeaux to Bayonne,189 km (117 mi),Plain stage,Ottavio Bottecchia (ITA)
1925,01/07/1925,8,Bayonne to Luchon,326 km (203 mi),Stage with mountain(s),Adelin Benoît (BEL)
1925,03/07/1925,9,Luchon to Perpignan,323 km (201 mi),Stage with mountain(s),Nicolas Frantz (LUX)
1925,04/07/1925,10,Perpignan to Nîmes,215 km (134 mi),Plain stage,Theophile Beeckman (BEL)
1925,05/07/1925,11,Nîmes to Toulon,215 km (134 mi),Plain stage,Lucien Buysse (BEL)
1925,07/07/1925,12,Toulon to Nice,280 km (170 mi),Stage with mountain(s),Lucien Buysse (BEL)
1925,09/07/1925,13,Nice to Briançon,275 km (171 mi),Stage with mountain(s),Bartolomeo Aimo (ITA)
